,video_id,title,channel_id,channel_title,view_count,comment_count,wikipedia_categories,duration
10,GXzsUdNpiwE,Kirikou Akili - Ready (Official Music Video),UCqYNg_aU09T-PNdupL0Ka6Q,Kirikou A-kili,191645,1419,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M37S
11,qu6EsQFpf0w,Монеточка - ОСТАНОВИЛОСЬ (Official Music Video 2024),UC53JOxGaJlh6vD0ZHUjWhsA,Монеточка,189126,716,['https://en.wikipedia.org/wiki/Music'],PT2M40S
12,KP45IRo4z5o,Rihanna - Work (Official Music Video) ft. Drake,UCssnm-hrkKjkTgRo-9p8D1w,I'm a Warrior አርበኛው TV,180523,0,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT16S
13,HiMofsRHaM4,Shinta Arsinta - Lilakno Aku | Sagita Djandhut Assololley | Dangdut (Official Music Video),UC7J5Aaa2VxR3YNsewikrrqg,ENY'S PRODUCTION,167294,221,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Rock_music']",PT5M22S
14,p3lRdtYynZ4,Big Boogie - Wop Wop (Official Music Video),UCvoNKJFWRdM-Sn7kwLb-m0A,BigBoogieVEVO,164688,416,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M44S
15,I6nBbD0fgRc,RADWIMPS - うるうびと [Official Music Video],UCIVqvhyo8ttjYOmMJuhq_YQ,RADWIMPS,146809,94,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT44S
16,Hw0nBYfLikk,Lil Dicky - Morning After (Official Music Video),UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky,152299,298,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M7S
17,2JEv8AVW8vw,David Kushner - Skin and Bones (Official Music Video),UCa4a-hXHI8bitNXnvyZNzEQ,DavidKushnerVEVO,144896,1111,['https://en.wikipedia.org/wiki/Music'],PT3M36S
18,kwGH6gbhGQk,Osman Navruzov - Nafaslari (Official Music Video),UCkaUg9b9LplVoJdx1JwwyOg,NevoMusic,108839,138,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M18S
19,c7lUgghy3Ao,Caskey - Old Ways (Official Music Video),UC25on1Hd6Zbx1baZ-IgQ39g,Caskey,121593,624,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M46S
20,FmyvZut0FLw,Zouhair Bahaoui - Rouhi [Official Music Video] | (زهير البهاوي - روحي (فيديو كليب,UCzPpr_J4zgu6QKLJEBk31mw,Zouhair Bahaoui | زهير بهاوي,103562,1099,['https://en.wikipedia.org/wiki/Music'],PT3M11S
21,Ifc6-VCDsKw,Nordo - Yal 7ob (Official Music Video),UCIXt6QfV1V6fPmw7VGddWpg,MARWEN NORDO,102474,742,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M26S
22,t72camtpc6I,Savannah Dexter - Poison (Official Music Video),UCC_66Dd88p5EMqpR8Y4mUTw,SAVANNAH DEXTER,83009,521,"['https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M31S
23,8bEJ3TRDNfE,The Castellows - Hurricane (Official Music Video),UC0ZMT-llb5zaecfPYYt5d6A,The Castellows,81530,850,"['https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Music']",PT4M25S
24,-VFlm8CT0nc,DJAANY - ПРАХ [Official Music Video],UCpiQK89i7xUyEtPShi4Zx6g,kartelarecords,69910,413,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M30S
25,6wpkknxMzyE,Arief - Remehan Orang Tuamu (Official Music Video),UCmiJjv8BbzLahKpsfkQaBnA,Arief Putra,68519,411,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M59S
26,7D8Ii3qEY9k,ZillaKami x SosMula - Pros (Official Music Video),UC_EucbjTiD1OQ6IV-l2uCJA,City Morgue,69964,712,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT2M
27,E34yrHvZ6vI,Lil Dicky - I Love Myself (Official Music Video),UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky,68684,349,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M7S
28,PWVTsAHSocQ,Niken Salindry feat. Fallden - Pupusing Nelongso- Kembar Campursari ( Official Music Video ),UCHuJsCg-KjFBU3uZMFIonkQ,Kembar Music Digital,66133,502,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT6M25S
29,m8IjlGWOFDg,Annie Bosko - &quot;Neon Baby&quot; - (Official Music Video),UC6MzHPq7kT4AIZoIX7Dtplw,Annie Bosko,66416,62,"['https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M36S
30,SCgDHBE0xjg,MAANDY - &quot;MBICHI&quot; Ft BREEDER LW (Official Music Video),UCA-KAJf71B6_G_RFu94LB-Q,Maandy,49928,424,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M30S
31,5UDD2OypnU8,Era7capone - illegale ( Official Music Video ),UCj5Knp575d1ZF1KvhA6S1VQ,Act EARLY,45083,205,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M45S
32,_td7ilyLBgY,Shotgun Willy - Good Morning Vietnam (Official Music Video),UCTg6Jny4X_LteWGccXf596Q,Shotgun Willy,57094,1245,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M20S
33,lxWIim5Qn10,Mỹ Anh - Đánh Cược | OFFICIAL MUSIC VIDEO,UCTPlvjeNZyJEJPsftSroXGQ,Mỹ Anh,53875,115,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M16S
34,dPWTYdtoiUk,Lesti - Angin (Official Music Video) Reaction #lestikejora #lesti #angin #youtubemadeforyou,UCK7NplXDs8sMsSgMyqaqQMw,OVUADA OKPEN,46969,33,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT56S
35,QC3qrfnh9p0,Abo El Anwar X Lil Baba | Artistic (Official Music Video) أبو الأنوار وليل بابا | أرتيستك,UCIk0me5V_q_xCLKy4A5UKQA,Abo El Anwar,39248,138,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M12S
36,1OHCSTZwOLE,Skeng - Taboo | Official Music Video,UCapH8j0tQIs3KafImI9YqIQ,SkengVEVO,49321,566,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M29S
37,PrTLC5IeikY,Νικόλας Ραπτάκης x Ripen - Βάλε Ένα Ποτό - Official Music Video,UCE2a9E3B2EjO0_rg2mgVmlg,PanikRecordsTube,36510,30,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M50S
38,zpir0--j3RM,Alkaline Trio - Break (Official Music Video),UCxnS0WDBVfBnTP2e97DYDSA,riserecords,36525,199,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M24S
39,S3TwGJRGUSc,DVBBS &amp; Bad Nonno - Inside Out (Official Music Video),UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,34533,80,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M54S
40,4zITihTRuYA,Shinta Arsinta feat Mas Handhi - Cintaku | Sagita Assololley | Dangdut (Official Music Video),UC7J5Aaa2VxR3YNsewikrrqg,ENY'S PRODUCTION,33014,268,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT6M11S
41,T6LfxVgGYU4,Flight - I Really Hate U (Official Music Video),UC_k0qgMNIW2VmTQKjFsbXDw,FlightReacts,31029,437,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M4S
42,6c6DY24wMqE,Mr Eazi - Òròkórò (feat. Angélique Kidjo) [Official Music Video],UCSytDzPOmj1YV4_ctQOIdhg,Mr Eazi,30236,149,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",PT3M26S
43,QbhGvg1aGN4,DEMON FEAT Duke - HANYA - (OFFICIAL MUSIC VIDEO),UCVaVBXo6_w8N499hhnkxJ_A,DEMON 324,28423,112,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M50S
44,KRxHaT0bTH8,Alec Benjamin - Pick Me [Official Music Video],UCtWBCzqucZXq0M8jsqunM0g,Alec Benjamin,32383,582,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M55S
45,P28eJafMaGE,Felo Le Tee &amp; Focalistic - Ka Lekeke (Official Music Video),UCQ1qJ99oI0qbnHz4oFViVKg,Felo Le Tee,37724,177,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT4M8S
46,knUn8QGkbsI,LA Tone - Slide Bout It (Official Music Video),UCxwrqIf9736o3IZ-oVhQqbA,La Tone,31275,159,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT2M19S
47,JLfS_swCBbQ,glaive - huh (official music video),UC99-EheTUUxh_CCY17u-cLg,glaiveVEVO,25928,582,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M10S
48,JlH7eLdf1sA,بعملها كده - عنبه ( الحمد لله لوحدي حمله ) 2024 ‏ (Official Music Video) 3enba - b3melha Kda,UCy2rdGINR2BUqZoJEQ3Cz0g,مصطفى عنبه _ Mostafa 3enba,25672,309,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M15S
49,8rKsxf5D-48,BABYMETAL – メタり！！ (feat. Tom Morello) (OFFICIAL Live Music Video)　#Shorts,UC33_tIj4m1_XaqfFcomShvw,BABYMETAL,26444,71,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT28S
