,video_id,title,channel_id,channel_title,view_count,like_count,comment_count,wikipedia_categories,duration
539,Ad6SD9f2814,Man Magan - Nepali Song | Official Music Video | Deepak Bajracharya,UCTb_-k7qlE0O2GW7un8FVFw,Deepak Bajracharya,323388,18981,49,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT58S
540,gzHil1F3Eqg,Kyle Richh - Trick (Official Music Video) [Prod. MCVERTT],UCX2SLlA0MtwHnCArQRJ82-w,Kyle Richh,316086,25347,1055,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M12S
541,TnSAyL11Lt0,The Grease official music video is out now 🔥 #bellbottomcountry #grease #countrymusic,UCZkeQWzPCGeH707eRS6K6Hg,Lainey Wilson,303761,15284,261,"['https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT37S
542,AnnRwkxi4mg,Joseph Attieh - Hadder Halak [Official Music Video] (2024) / جوزيف عطية - حضر حالك,UCqEQp8OWk2p2fWBZjyscZUA,Joseph Attieh,305981,5979,413,['https://en.wikipedia.org/wiki/Music'],PT4M17S
543,FYQ9pjORr3E,The official music video to David Guetta and Bebe Rexha’s smash hit ‘I’m Good (Blue)’ is here!,UChqI-M1uwsaEHe9cfcqk7sg,Warner Music Africa,298608,10697,81,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT16S
544,1oUIm6vEGgw,#Wife Official Music Video,UCritGVo7pLJLUS8wEu32vow,(G)I-DLE (여자)아이들 (Official YouTube Channel),294249,39972,332,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT53S
545,0kh-xPvsVds,&#39;traitor&#39; official music video (with lyrics) - Olivia Rodrigo,UCA5_IBWXEN8gd0ylJvBTWSg,Universal Music Singapore,289951,15881,107,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT29S
546,SSLPIT5Hi5w,Aidonia - Bottles | Official Music Video,UCG2QFlHjY3yAPLXbzH3_vSQ,AidoniaVEVO,285435,21719,1792,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M29S
547,qgdxULJfS0Q,Wiz Khalifa - Not A Drill Freestyle [Official Music Video],UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,283274,16779,1510,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT1M38S
548,vVLl0xI_qD0,Saweetie - IMMORTAL FREESTYLE (Official Music Video),UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,276431,24638,1869,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M11S
549,FmyvZut0FLw,Zouhair Bahaoui - Rouhi [Official Music Video] | (زهير البهاوي - روحي (فيديو كليب,UCzPpr_J4zgu6QKLJEBk31mw,Zouhair Bahaoui | زهير بهاوي,279965,,1596,['https://en.wikipedia.org/wiki/Music'],PT3M11S
550,WzduXvKA-1M,Kevin Gates - Lil Yea (Official Music Video),UCj2GTFekdV3EUsTVN8oaEqA,kevingatesTV,270020,17667,1020,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT4M1S
551,g655MgOU3ts,XG - SHOOTING STAR (Official Music Video) Highlight #2,UC12HMtO5MYph9dCZZ7yygng,XG,245249,35294,213,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT48S
552,2er9ukbfa0M,SHOR (Official Music Video) - Mooroo | @TalhaAnjum | Prod. by Umair,UC-rP-oFlxQGpSLYHBlhIWkg,Taimoor Salahuddin aka Mooroo,240497,29544,1514,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT4M32S
553,5qf9j35CShQ,Wael Idrees - Erja3la Bada (Official Music Video) | وائل ادريس - ارجعلا بدا,UCpuTiyAOctbCiQlwRgKwtXg,𝐖𝐚𝐞𝐥 - وائل,252432,36199,7500,['https://en.wikipedia.org/wiki/Music'],PT2M58S
554,1g_fHPyC974,Punsang Appun // Teaser Brishtisikha // Banmali //  New Mising Official Music Video Coming Son 2023,UC_I_VcN-MM9TtMXepCYUqYg,STUDIO OBONORI,233244,18996,64,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT17S
555,c1We8DkJiIM,Nay Wa Mitego - Wapi Huko (Official Music Video Lyrics),UCDVjYk8wMdlBIikUFZ0fn-g,Mr Nay,222970,12429,1443,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M31S
556,ysftXz2INGs,Soulja - Ronaldo (Official Music Video) | سولجا - رونالدو,UCU-3aVH2u__JEZFCXShiRTQ,SOULJA - سولجا,253846,4678,903,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M7S
557,BceyMKrdd9A,Liamsi - Madama (OFFICIAL MUSIC VIDEO) #Madama,UCRI5IOzqfAHkSpghQqJVG6Q,Liamsi,209580,32695,2199,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M25S
558,p3lRdtYynZ4,Big Boogie - Wop Wop (Official Music Video),UCvoNKJFWRdM-Sn7kwLb-m0A,BigBoogieVEVO,210727,12051,439,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M44S
559,CKmEJCnP7sc,Tenside - PRETTY LONESOME (Official Music Video),UC4CqRoWPK6LEXNwSWm56TWQ,Tenside,261187,309,26,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M53S
560,tp0YqQYlG9A,Alex Sampson - The Girl Who Cried Love (Official Music Video),UCWFLTG0Wr22O1cN8t3rtu7w,Alex Sampson,251625,2585,215,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M58S
